ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
DE0389,Norddeutsche Akademie für Finanzen und Steuerrecht Hamburg,2016,DE,public,uni,27.0,24.0,362.0,15.083333333333336,0.8888888888888888,0,1,31.0,1308.0,11.67741935483871,42.19354838709677,0,1
DE0391,Hessische Hochschule für Finanzen und Rechtspflege,2016,DE,public,uni,82.0,47.0,782.0,16.638297872340427,0.573170731707317,0,0,52.0,187.0,15.038461538461537,3.5961538461538463,0,0
DE0392,Hessische Hochschule für Polizei und Verwaltung,2016,DE,public,uni,204.0,146.0,2964.0,20.301369863013694,0.7156862745098039,0,0,24.0,187.0,123.5,7.791666666666668,0,0
DE0394,Verwaltungs-Fachhochschule Güstrow,2016,DE,public,uni,162.0,32.0,443.0,13.84375,0.19753086419753085,0,1,49.0,141.0,9.040816326530612,2.877551020408163,0,1
DE0395,"Norddeutsche Hochschule für Rechtspflege, Hildesheim",2016,DE,public,uni,28.0,19.0,329.0,17.315789473684212,0.6785714285714286,0,0,110.0,3309.0,2.9909090909090907,30.081818181818186,0,0
DE0396,Kommunale Hochschule für Verwaltung in Niedersachsen,2016,DE,private,uni,21.0,9.0,962.0,106.88888888888887,0.42857142857142855,1,0,40.0,2132.0,24.05,53.3,1,1
DE0397,"Fachhochschule für Rechtspflege NW, Bad Münstereifel",2016,DE,public,uni,67.0,47.0,439.0,9.340425531914894,0.7014925373134329,0,0,76.0,58.0,5.776315789473684,0.7631578947368421,0,0
DE0398,"Fachhochschule für Finanzen NW, Nordkirchen",2016,DE,public,uni,190.0,93.0,1769.0,19.021505376344088,0.4894736842105264,0,0,11.0,35.0,160.8181818181818,3.1818181818181817,0,0
DE0399,Fachhochschule für öffentliche Verwaltung Nordrhein-Westfalen,2016,DE,public,uni,415.0,226.0,8203.0,36.29646017699115,0.5445783132530121,1,0,184.0,72.0,44.58152173913044,0.39130434782608703,1,0
DE0400,Hochschule des Bundes für öffentliche Verwaltung,2016,DE,public,uni,629.0,277.0,3773.0,13.620938628158846,0.4403815580286168,0,0,136.0,69.0,27.742647058823533,0.5073529411764706,0,0
DE0401,Hochschule für Finanzen Rheinland-Pfalz,2016,DE,public,uni,49.0,37.0,611.0,16.513513513513512,0.7551020408163265,0,0,,27.0,,,0,0
DE0402,Hochschule der Deutschen Bundesbank Hachenburg,2016,DE,public,uni,94.0,41.0,355.0,8.658536585365852,0.4361702127659575,0,0,75.0,78.0,4.733333333333333,1.04,0,0
DE0403,Hochschule für öffentliche Verwaltung Rheinland-Pfalz,2016,DE,public,uni,69.0,48.0,672.0,14.0,0.6956521739130435,0,0,85.0,37.0,7.905882352941178,0.4352941176470588,0,0
DE0404,Fachhochschule für Verwaltung Saarbrücken,2016,DE,public,uni,81.0,65.0,390.0,6.0,0.8024691358024691,0,1,651.0,236.0,0.5990783410138248,0.36251920122887865,0,0
DE0405,Hochschule für öffentliche Verwaltung und Rechtspflege Meißen (FH),2016,DE,public,uni,104.0,48.0,565.0,11.770833333333336,0.4615384615384616,0,0,97.0,115.0,5.824742268041238,1.1855670103092784,0,0
DE0406,"Hochschule der Sächsischen Polizei, Rothenburg/OL. (FH)",2016,DE,public,uni,126.0,64.0,471.0,7.359375,0.5079365079365079,0,0,1592.0,28.0,0.29585427135678394,0.017587939698492462,0,0
DE0407,"Fachhochschule Polizei Sachsen-Anhalt, Aschersleben",2016,DE,public,uni,103.0,20.0,357.0,17.85,0.1941747572815534,0,1,34.0,116.0,10.5,3.4117647058823533,0,1
DE0408,Fachhochschule für Verwaltung und Dienstleistung Altenholz,2016,DE,public,uni,95.0,71.0,1204.0,16.95774647887324,0.7473684210526316,0,0,246.0,35.0,4.894308943089431,0.14227642276422764,0,0
DE0410,Thüringer Fachhochschule für öffentliche Verwaltung Gotha,2016,DE,public,uni,68.0,34.0,422.0,12.411764705882351,0.5,0,0,,,,,0,0
DE0411,"Hochschule für Medien, Kommunikation und Wirtschaft (HMKW)",2016,DE,private,other,102.0,61.0,1736.0,28.459016393442624,0.5980392156862745,0,0,73.0,,23.78082191780822,,0,0
DE0412,"Hochschule für Wirtschaft, Technik und Kultur Berlin (HWTK)",2016,DE,private,other,35.0,23.0,469.0,20.391304347826086,0.6571428571428571,0,0,50.0,52.0,9.38,1.04,0,0
DE0413,International Psychoanalytic University Berlin,2016,DE,private,uas,57.0,39.0,561.0,14.384615384615385,0.6842105263157895,0,0,,33.0,,,0,0
DE0414,Hochschule Emden/Leer,2016,DE,public,other,407.0,283.0,4704.0,16.62190812720848,0.6953316953316954,0,0,31.0,,151.74193548387098,,0,0
DE0416,KLU Kühne Logistics University (Priv.),2016,DE,private,uas,74.0,29.0,252.0,8.689655172413794,0.3918918918918919,0,0,210.0,27.0,1.2,0.12857142857142856,0,0
DE0417,MSH Medical School Hamburg,2016,DE,private,other,108.0,66.0,3021.0,45.77272727272727,0.6111111111111112,1,0,,28.0,,,1,0
DE0418,Hochschule Hamm-Lippstadt,2016,DE,public,other,271.0,183.0,5273.0,28.814207650273232,0.6752767527675276,0,0,60.0,31.0,87.88333333333334,0.5166666666666667,0,0
DE0419,Hochschule Rhein-Waal,2016,DE,public,other,428.0,255.0,6470.0,25.37254901960784,0.5957943925233645,0,0,31.0,4.0,208.70967741935485,0.12903225806451613,0,0
DE0420,Cologne Business School (CBS) - European University of Applied Sciences (Priv. FH),2016,DE,private,other,135.0,39.0,1817.0,46.589743589743605,0.2888888888888889,1,1,32.0,30.0,56.78125,0.9375,1,1
DE0421,Hochschule der Wirtschaft für Management (HdWM) Mannheim (Priv. FH),2016,DE,private,other,32.0,20.0,391.0,19.55,0.625,0,0,78.0,36.0,5.012820512820513,0.4615384615384616,0,0
DE0422,Hochschule Ruhr West (HRW),2016,DE,public,other,301.0,173.0,5544.0,32.04624277456647,0.5747508305647839,1,0,49.0,49.0,113.14285714285714,1.0,1,0
DE0423,Psychologische Hochschule Berlin (Priv. U),2016,DE,private,uas,22.0,13.0,256.0,19.69230769230769,0.5909090909090909,0,0,129.0,36.0,1.984496124031008,0.2790697674418605,0,0
DE0427,Internationale Hochschule Liebenzell,2016,DE,private,other,18.0,13.0,215.0,16.53846153846154,0.7222222222222222,0,0,,33.0,,,0,0
DE0428,"Hochschule für Kunst, Design und Populäre Musik Freiburg i. Br. (Priv. FH)",2016,DE,private,other,23.0,17.0,226.0,13.294117647058822,0.7391304347826086,0,0,,33.0,,,0,0
DE0430,Akkon HS Berlin (Priv. FH),2016,DE,private,other,17.0,11.0,461.0,41.90909090909091,0.6470588235294118,1,0,,53.0,,,1,0
DE0431,DEKRA Hochschule für Medien,2016,DE,private,other,26.0,17.0,419.0,24.64705882352941,0.6538461538461539,0,0,,29.0,,,0,0
DE0435,Business School Berlin Hochschule für Management,2016,DE,private,other,64.0,41.0,1146.0,27.951219512195124,0.640625,0,0,,127.0,,,0,0
DE0437,CVJM-Hochschule Kassel (Priv. FH),2016,DE,private,other,27.0,20.0,395.0,19.75,0.7407407407407407,0,0,,22.0,,,0,0
DE0438,"Hochschule Weserbergland (HSW), Hameln (Priv.FH)",2016,DE,private,other,49.0,27.0,480.0,17.777777777777782,0.5510204081632653,0,0,,20.0,,,0,0
DE0439,Leibniz - Fachhochschule Hannover (Priv. FH),2016,DE,private,other,19.0,11.0,586.0,53.27272727272727,0.5789473684210527,1,0,,13.0,,,1,0
DE0440,"Hochschule für Gesundheit, Bochum",2016,DE,public,other,155.0,91.0,1142.0,12.54945054945055,0.5870967741935483,0,0,,,,,0,0
DE0441,Fliedner Fachhochschule Düsseldorf (Priv. ),2016,DE,private,other,58.0,42.0,1164.0,27.714285714285715,0.7241379310344828,0,0,,,,,0,0
DE0444,EBC Hochschule Düsseldorf (Priv. FH),2016,DE,private,other,,,,,,0,0,,10.0,,,0,0
DE0445,Fachhochschule Dresden (Priv. FH),2016,DE,private,other,45.0,29.0,583.0,20.103448275862068,0.6444444444444445,0,0,,17.0,,,0,0
DE0447,SRH Hochschule der Populären Künste,2016,DE,private,other,40.0,29.0,607.0,20.931034482758626,0.725,0,0,,28.0,,,0,0
DE0448,Jade Hochschule,2016,DE,public,other,606.0,409.0,7286.0,17.814180929095357,0.6749174917491749,0,0,,94.0,,,0,0
DE0452,"Medical School Berlin, Hochschule für Gesundheit und Medizin (Priv. FH)",2016,DE,private,other,58.0,39.0,952.0,24.41025641025641,0.6724137931034483,0,0,,8.0,,,0,0
DE0455,Brandenburgische Technische Universität Cottbus-Senftenberg,2016,DE,public,other,1545.0,918.0,7341.0,7.996732026143791,0.5941747572815534,0,0,,,,,0,0
DE0458,Hochschule Geisenheim University (FH),2016,DE,private,other,374.0,121.0,1600.0,13.223140495867767,0.3235294117647059,0,1,,19277.0,,,0,1
DE0459,Designhochschule Leipzig (Priv. FH),2016,DE,private,other,,,205.0,,,0,0,,2457.0,,,0,0
DE0460,IST-Hochschule für Management Düsseldorf (Priv. FH),2016,DE,private,other,36.0,26.0,1769.0,68.03846153846153,0.7222222222222222,1,0,,5971.0,,,1,0
DE0461,Medizinische Hochschule Brandenburg in Neuruppin (Priv. U),2016,DE,private,uas,40.0,32.0,164.0,5.125,0.8,0,1,,3423.0,,,1,0
DE0462,"Munich Institute of Media and Musical Arts, MIMA München (Priv. Kunst-H)",2016,DE,private,uni,,,,,,0,0,,2469.0,,,0,0
DE0464,HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften (Priv. FH),2016,DE,private,other,26.0,16.0,201.0,12.5625,0.6153846153846154,0,0,,6703.0,,,0,0
DE0465,AMD Akademie Mode und Design Idstein mit allen Standorten,2016,DE,private,other,111.0,65.0,1263.0,19.430769230769233,0.5855855855855856,0,0,,14789.0,,,0,0
DE0466,GA Hochschule der digitalen Gesellschaft Berlin (Priv. FH),2016,DE,private,other,,,,,,0,0,,8317.0,,,0,0
DE0469,NBS Northern Business School Hamburg (Priv. FH),2016,DE,private,other,39.0,20.0,585.0,29.25,0.5128205128205128,0,0,,239.0,,,0,0
DE0470,praxisHochschule Köln (Priv. FH),2016,DE,private,other,30.0,21.0,455.0,21.66666666666667,0.7,0,0,,42.0,,,0,0
DE0471,HSD Hochschule Döpfer Köln (Priv. FH),2016,DE,private,other,17.0,13.0,324.0,24.92307692307693,0.7647058823529411,0,1,,42.0,,,0,0
DE0473,Hochschule der Polizei Rheinland-Pfalz in Büchenbeuren,2016,DE,public,uas,167.0,60.0,1387.0,23.11666666666667,0.3592814371257485,0,1,,2971.0,,,0,1
DE0475,Akademie der Polizei Hamburg,2016,DE,public,uni,24.0,24.0,331.0,13.791666666666664,1.0,0,1,,1690.0,,,0,1
DK0001,Københavns Universitet,2016,DK,public,uas,,,37683.0,,,0,0,,1195.0,,,0,0
DK0002,Aarhus Universitet,2016,DK,public,uas,,,33744.0,,,0,0,,15070.0,,,0,0
DK0003,Syddansk Universitet,2016,DK,public,uas,,,23002.0,,,0,0,,20878.0,,,0,0
DK0004,Roskilde Universitet,2016,DK,public,uas,,,7930.0,,,0,0,,14738.0,,,0,0
DK0005,Aalborg Universitet,2016,DK,public,uas,,,20359.0,,,0,0,,1769.0,,,0,0
DK0006,Danmarks Tekniske Universitet,2016,DK,public,uas,,,10813.0,,,0,0,,47.0,,,0,0
DK0007,Handelshøjskolen i Kobenhavn,2016,DK,public,uas,,,15499.0,,,0,0,,1531.0,,,0,0
DK0008,IT-Universitetet i København,2016,DK,public,uas,,,1777.0,,,0,0,,9267.0,,,0,0
DK0011,Arkitektskolen Aarhus,2016,DK,public,other,,,742.0,,,0,0,,12988.0,,,0,0
DK0013,Designskolen Kolding,2016,DK,public,other,,,348.0,,,0,0,,6541.0,,,0,0
DK0015,"Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",2016,DK,public,other,,,1628.0,,,0,0,,6634.0,,,0,0
DK0016,Professionshøjskolen Metropol,2016,DK,public,other,,,10190.0,,,0,0,,5172.0,,,0,0
DK0017,Professionshøjskolen UCC,2016,DK,public,other,,,10133.0,,,0,0,,91.0,,,0,0
DK0018,Professionshøjskolen University College Nordjylland,2016,DK,public,other,,,9364.0,,,0,0,,105.0,,,0,0
DK0019,University College Syddanmark,2016,DK,public,other,,,6207.0,,,0,0,,229.0,,,0,0
DK0020,University College Lillebælt,2016,DK,public,other,,,6903.0,,,0,0,,642.0,,,0,0
DK0021,University College Sjælland,2016,DK,public,other,,,8214.0,,,0,0,,904.0,,,0,0
DK0022,VIA University College,2016,DK,public,other,,,19494.0,,,0,0,,4130.0,,,0,0
DK0023,Københavns Erhvervsakademie (KEA),2016,DK,public,other,,,5312.0,,,0,0,,3725.0,,,0,0
DK0024,Erhvervsakademi Sjælland,2016,DK,public,other,,,3675.0,,,0,0,,423.0,,,0,0
DK0025,Erhvervsakademi Dania,2016,DK,public,other,,,2361.0,,,0,0,,15814.0,,,0,0
DK0026,Erhvervsakademi Kolding,2016,DK,public,other,,,1486.0,,,0,0,,1847.0,,,0,0
DK0027,Erhvervsakademiet Lillebælt,2016,DK,public,other,,,4555.0,,,0,0,,333.0,,,0,0
DK0028,Erhvervsakademiet Copenhagen Business,2016,DK,public,other,,,5833.0,,,0,0,,974.0,,,0,0
DK0029,Erhvervsakademi SydVest,2016,DK,public,other,,,1415.0,,,0,0,923.0,168.0,1.5330444203683642,0.1820151679306609,0,0
DK0030,Erhvervsakademi Midtvest,2016,DK,public,other,,,756.0,,,0,0,1608.0,5147.0,0.4701492537313433,3.200870646766169,0,0
DK0031,Erhvervsakademi Aarhus,2016,DK,public,other,,,4789.0,,,0,0,1425.0,10947.0,3.360701754385965,7.6821052631578945,0,0
DK0032,Danmarks Medie og Journalisthøjskole,2016,DK,public,other,,,2037.0,,,0,0,3646.0,5327.0,0.5586944596818432,1.46105320899616,0,0
DK0033,SIMAC,2016,DK,public,other,,,721.0,,,0,0,844.0,4155.0,0.8542654028436019,4.922985781990522,0,0
DK0034,Kriminalforsorgens Uddannelsescenter,2016,DK,public,uni,,,159.0,,,0,0,968.0,4273.0,0.16425619834710745,4.4142561983471085,0,0
DK0037,Den Frie Lærerskole,2016,DK,private government dependent,other,,,317.0,,,0,0,4555.0,5355.0,0.06959385290889132,1.1756311745334798,0,0
EE0001,Tartu Ülikool,2016,EE,private government dependent,uas,,,11417.0,,,0,0,4050.0,6297.0,2.8190123456790124,1.5548148148148149,0,0
EE0002,Tallinna Tehnikaülikool,2016,EE,private government dependent,uas,,,10246.0,,,0,0,2531.0,4181.0,4.048202291584354,1.6519162386408537,0,0
EE0003,Tallinna Ülikool,2016,EE,private government dependent,uas,,,7431.0,,,0,0,1496.0,1147.0,4.9672459893048115,0.7667112299465241,0,0
EE0004,Eesti Maaülikool,2016,EE,private government dependent,uas,,,3011.0,,,0,0,1695.0,12873.0,1.7764011799410029,7.594690265486727,0,0
EE0005,Eesti Ettevõtluskõrgkool Mainor,2016,EE,private,other,,,1454.0,,,0,0,1689.0,5280.0,0.8608644168146833,3.126110124333925,0,0
EE0006,Tallinna Tehnikakõrgkool,2016,EE,public,other,,,2183.0,,,0,0,1568.0,1182.0,1.392219387755102,0.7538265306122449,0,0
EE0007,Estonian Business School,2016,EE,private,uas,,,1382.0,,,0,0,4911.0,1297.0,0.2814090816534311,0.2641009977601303,0,0
EE0008,Euroakadeemia,2016,EE,private,other,,,539.0,,,0,0,5934.0,1572.0,0.0908324907313785,0.2649140546006067,0,0
EE0009,Tallinna Tervishoiu Kõrgkool,2016,EE,public,other,,,1268.0,,,0,0,1682.0,3054.0,0.7538644470868014,1.815695600475624,0,0
EE0010,Tartu Tervishoiu Kõrgkool,2016,EE,public,other,,,1022.0,,,0,0,1208.0,2117.0,0.8460264900662252,1.7524834437086092,0,0
EE0011,Eesti Kunstiakadeemia,2016,EE,private government dependent,uas,,,1022.0,,,0,0,3161.0,684.0,0.32331540651692503,0.21638721923441948,0,0
EE0013,Sisekaitseakadeemia,2016,EE,public,other,,,671.0,,,0,0,1679.0,16223.0,0.39964264443120906,9.662298987492557,0,0
EE0017,Lääne-Viru Rakenduskõrgkool,2016,EE,public,other,,,951.0,,,0,0,1899.0,4110.0,0.5007898894154819,2.1642969984202214,0,0
EE0022,Eesti Muusika- ja Teatriakadeemia,2016,EE,private government dependent,uas,,,611.0,,,0,0,2423.0,7671.0,0.2521667354519191,3.1659100288898063,0,0
EE0023,Eesti Infotehnoloogia Kolledž,2016,EE,private,other,,,956.0,,,0,0,2320.0,12157.0,0.41206896551724137,5.240086206896552,0,0
EE0025,Eesti Lennuakadeemia,2016,EE,public,other,,,251.0,,,0,0,1323.0,4819.0,0.18972033257747545,3.6424792139077855,0,0
EE0026,Tartu Kõrgem Kunstikool,2016,EE,public,other,,,313.0,,,0,0,1198.0,9976.0,0.2612687813021703,8.32721202003339,0,0
EE0028,Arvutikolledž,2016,EE,private,other,,,,,,0,0,2800.0,12169.0,,4.346071428571428,0,0
EE0029,Eesti Metodisti Kiriku Teoloogiline Seminar,2016,EE,private,other,,,60.0,,,0,0,4716.0,1889.0,0.012722646310432571,0.4005513146734521,0,0
EE0031,Kaitseväe Ühendatud Õppeasutused,2016,EE,public,other,,,192.0,,,0,0,851.0,16451.0,0.2256169212690952,19.331374853113985,0,0
EE0032,EELK Usuteaduse Instituut,2016,EE,private,other,,,132.0,,,0,0,983.0,1025.0,0.1342828077314344,1.0427263479145472,0,0
EE0034,EEKBKL Kõrgem Usuteaduslik Seminar,2016,EE,private,other,,,47.0,,,0,0,2409.0,14846.0,0.019510170195101702,6.162723121627232,0,0
ES0001,Universidad de Almería,2016,ES,public,uas,1251.78,785.16,12762.0,16.254011921137092,0.6272348176197096,0,0,2395.0,3231.0,5.328601252609603,1.3490605427974949,0,0
ES0002,Universidad de Cádiz,2016,ES,public,uas,2081.55,1376.17,21141.0,15.362200890878306,0.6611275251615383,0,0,1916.0,2735.0,11.0339248434238,1.4274530271398749,0,0
ES0003,Universidad de Córdoba,2016,ES,public,uas,1840.11,1080.13,16858.0,15.607380593076758,0.5869920819950982,0,0,1541.0,3054.0,10.939649578195977,1.981829980532122,0,0
ES0004,Universidad de Granada,2016,ES,public,uas,5468.37,3224.19,49203.0,15.26057707517237,0.5896071407018911,0,0,2853.0,815.0,17.246056782334385,0.2856642131090081,0,0
ES0005,Universidad de Huelva,2016,ES,public,uas,1094.15,663.15,10698.0,16.13209681067632,0.6060869167847187,0,0,1968.0,160.0,5.435975609756096,0.08130081300813008,0,0
ES0006,Universidad de Jaén,2016,ES,public,uas,1383.52,875.77,14530.0,16.591114105301617,0.63300132994102,0,0,1872.0,3393.0,7.761752136752138,1.8125,0,0
ES0007,Universidad de Málaga,2016,ES,public,uas,3306.7,2057.41,34983.0,17.003416917386428,0.6221943327184202,0,0,2910.0,1945.0,12.021649484536082,0.6683848797250859,0,0
ES0008,Universidad Pablo de Olavide,2016,ES,public,uas,1061.27,696.67,10699.0,15.357342787833552,0.6564493484221734,0,0,1626.0,5844.0,6.579950799507994,3.5940959409594098,0,0
ES0009,Universidad de Sevilla,2016,ES,public,uas,6327.32,3686.04,58756.0,15.940141723909669,0.5825594406478573,0,0,6280.0,242.0,9.35605095541401,0.03853503184713376,0,0
ES0010,Universidad de Zaragoza,2016,ES,public,uas,4439.51,2890.97,29629.0,10.248809223201901,0.651191235068735,0,0,3881.0,2175.0,7.634372584385468,0.5604225715021901,0,0
ES0011,Universidad de Oviedo,2016,ES,public,uas,3058.48,2104.72,20300.0,9.644988407009011,0.6881588239910021,0,0,1840.0,404.0,11.032608695652176,0.2195652173913044,0,0
ES0012,Universitat de les Illes Balears,2016,ES,public,uas,1481.67,900.44,12862.0,14.284127759761894,0.6077196676722887,0,0,2850.0,8863.0,4.512982456140351,3.1098245614035087,0,0
ES0013,Universidad de La Laguna,2016,ES,public,uas,2212.88,1366.83,18631.0,13.63080997636868,0.6176701854596724,0,0,620.0,3261.0,30.05,5.259677419354839,0,0
ES0014,Universidad de Las Palmas de Gran Canaria,2016,ES,public,uas,1976.82,1193.19,17894.0,14.996773355458894,0.6035906152305218,0,0,986.0,12962.0,18.14807302231237,13.146044624746448,0,0
ES0015,Universidad de Cantabria,2016,ES,public,uas,1707.57,1098.01,9947.0,9.059116037194562,0.6430248833137149,0,0,4992.0,2140.0,1.992588141025641,0.4286858974358974,0,0
ES0016,Universitat Autònoma de Barcelona,2016,ES,public,uas,4652.34,2723.51,35649.0,13.089358952234432,0.5854064836189959,0,0,476.0,10366.0,74.89285714285714,21.777310924369747,0,0
ES0017,Universitat de Barcelona,2016,ES,public,uas,5716.23,3411.17,52580.0,15.414066141529153,0.5967517052322948,0,0,743.0,28.0,70.7671601615074,0.037685060565275916,0,0
ES0018,Universitat de Girona,2016,ES,public,uas,1553.84,931.18,14646.0,15.72843059344058,0.5992766307985378,0,0,212.0,139.0,69.08490566037736,0.6556603773584906,0,0
ES0019,Universitat de Lleida,2016,ES,public,uas,1196.78,668.57,9654.0,14.439774443962483,0.5586406858403383,0,0,620.0,7506.0,15.570967741935485,12.106451612903225,0,0
ES0020,Universitat Politècnica de Catalunya · BarcelonaTech,2016,ES,public,uas,3771.74,2255.54,29194.0,12.94324197309735,0.5980104673174715,0,0,537.0,6416.0,54.36499068901304,11.94785847299814,0,0
ES0021,Universitat Pompeu Fabra,2016,ES,public,uas,1854.43,988.08,18054.0,18.271799854262813,0.5328214060385131,0,0,408.0,730.0,44.25,1.78921568627451,0,0
ES0022,Universitat Rovira i Virgili,2016,ES,public,uas,1639.15,922.63,12988.0,14.077149019650347,0.5628710002135253,0,0,894.0,5197.0,14.527964205816556,5.813199105145414,0,0
ES0023,Universidad de Castilla-La Mancha,2016,ES,public,uas,2832.12,1749.29,24342.0,13.915359946035249,0.6176609748174513,0,0,105.0,617.0,231.82857142857142,5.8761904761904775,0,0
ES0024,Universidad de Alicante,2016,ES,public,uas,2814.59,1568.03,24053.0,15.33962998156923,0.5571077847928118,0,0,907.0,1202.0,26.51929437706725,1.325248070562293,0,0
ES0025,Universidad Jaume I de Castellón,2016,ES,public,uas,1459.21,835.56,13181.0,15.775049068887933,0.5726112074341595,0,0,688.0,1718.0,19.15843023255814,2.497093023255814,0,0
ES0026,Universidad Miguel Hernández de Elche,2016,ES,public,uas,1232.27,731.51,12547.0,17.152192041120422,0.5936280198333157,0,0,677.0,10265.0,18.53323485967504,15.16248153618907,0,0
ES0027,Universidad Politécnica de Valencia,2016,ES,public,uas,3779.52,2244.32,25635.0,11.422167961787979,0.5938108542883753,0,0,1728.0,1259.0,14.835069444444445,0.7285879629629629,0,0
ES0028,Universitat de València (Estudi General),2016,ES,public,uas,5065.03,3218.01,44283.0,13.76098893415496,0.6353387837781811,0,0,2597.0,487.0,17.05159799768964,0.18752406623026568,0,0
ES0029,Universidad de Burgos,2016,ES,public,uas,943.92,597.95,7014.0,11.730077765699473,0.6334752945164845,0,0,203.0,666.0,34.55172413793103,3.2807881773399017,0,0
ES0030,Universidad de León,2016,ES,public,uas,1213.97,743.92,10761.0,14.465265082266912,0.6127993278252345,0,0,646.0,477.0,16.657894736842106,0.7383900928792569,0,0
ES0031,Universidad de Salamanca,2016,ES,public,uas,2905.67,1768.7,22901.0,12.947927856617856,0.6087064257124862,0,0,,596.0,,,0,0
ES0032,Universidad de Valladolid,2016,ES,public,uas,2785.41,1771.62,21122.0,11.922421286731918,0.6360356285071138,0,0,187.0,310.0,112.951871657754,1.6577540106951871,0,0
ES0033,Universidad de Extremadura,2016,ES,public,uas,2368.37,1497.23,20405.0,13.628500631165553,0.632177404712946,0,0,765.0,337.0,26.67320261437909,0.4405228758169935,0,0
ES0034,Universidad de A Coruña,2016,ES,public,uas,2166.39,1395.13,16251.0,11.648376853769898,0.6439883862093161,0,0,,70.0,,,0,0
ES0035,Universidad de Santiago de Compostela,2016,ES,public,uas,3569.76,2369.23,21771.0,9.189061425019943,0.6636944780601497,0,0,423.0,103.0,51.46808510638298,0.24349881796690304,0,0
ES0036,Universidad de Vigo,2016,ES,public,uas,2362.89,1618.6,18856.0,11.649573705671573,0.685008612334895,0,0,1236.0,37.0,15.255663430420713,0.02993527508090615,0,0
ES0037,Universidad de Alcalá,2016,ES,public,uas,1997.28,1211.58,17214.0,14.207893824592679,0.6066149963950973,0,0,1479.0,48.0,11.638945233265721,0.032454361054766734,0,0
ES0038,Universidad Autónoma de Madrid,2016,ES,public,uas,3297.25,2224.14,26360.0,11.851771920832322,0.6745439381302599,0,0,204.0,38.0,129.21568627450978,0.1862745098039216,0,0
ES0039,Universidad Carlos III de Madrid,2016,ES,public,uas,1834.77,1151.05,18526.0,16.094869901394382,0.6273538372657063,0,0,341.0,45.0,54.32844574780058,0.13196480938416422,0,0
ES0040,Universidad Complutense de Madrid,2016,ES,public,uas,7743.35,4386.53,66425.0,15.142948982453106,0.5664899558976412,0,0,952.0,34.0,69.77415966386555,0.03571428571428571,0,0
ES0041,Universidad Politécnica de Madrid,2016,ES,public,uas,5025.82,3198.55,36208.0,11.320129433649626,0.6364235089995265,0,0,47.0,83.0,770.3829787234042,1.7659574468085106,0,0
ES0042,Universidad Rey Juan Carlos,2016,ES,public,uas,2234.09,1451.48,47248.0,32.55160250227354,0.6496962969262653,1,0,769.0,277.0,61.440832249674905,0.3602080624187256,0,0
ES0043,Universidad de Murcia,2016,ES,public,uas,3026.28,1829.74,30372.0,16.599079650660748,0.6046168893823439,0,0,476.0,75.0,63.806722689075634,0.15756302521008406,0,0
ES0044,Universidad Politécnica de Cartagena,2016,ES,public,uas,853.48,482.33,5236.0,10.855638255965829,0.5651333364577963,0,0,26.0,76.0,201.38461538461542,2.9230769230769234,0,0
ES0045,Universidad Pública de Navarra,2016,ES,public,uas,1131.6,688.05,7682.0,11.164886272799942,0.608032873806999,0,0,371.0,309.0,20.70619946091644,0.8328840970350404,0,0
ES0046,Universidad del País Vasco / Euskal Herriko Unibertsitatea,2016,ES,public,uas,5990.95,4099.45,39891.0,9.730817548695557,0.6842737796175898,0,0,1188.0,264.0,33.57828282828283,0.2222222222222222,0,0
ES0047,Universidad de La Rioja,2016,ES,public,uas,624.33,374.34,4006.0,10.701501308970457,0.5995867570035077,0,0,92.0,276.0,43.54347826086956,3.0,0,0
ES0048,IE. Universidad,2016,ES,private,uas,526.48,219.5,4208.0,19.170842824601365,0.4169199209846528,0,1,344.0,461.0,12.232558139534886,1.3401162790697674,0,0
ES0049,Universidad a Distancia de Madrid (UDIMA),2016,ES,private,uas,198.46,132.7,7408.0,55.8251695553881,0.6686485941751485,1,0,202.0,204.0,36.67326732673267,1.00990099009901,1,0
ES0050,Universidad Alfonso X El Sabio,2016,ES,private,uas,341.16,220.09,6711.0,30.492071425326003,0.6451225231562903,0,0,53.0,201.0,126.62264150943396,3.7924528301886786,0,0
ES0051,Universidad Antonio de Nebrija,2016,ES,private,uas,502.1,263.75,6930.0,26.274881516587683,0.5252937661820354,0,0,30.0,124.0,231.0,4.133333333333334,0,0
ES0052,Universidad Camilo José Cela,2016,ES,private,uas,374.46,230.86,9913.0,42.939443818764616,0.616514447471025,1,0,,583.0,,,0,0
ES0053,Universidad Cardenal Herrera-CEU,2016,ES,private,uas,740.82,477.82,8001.0,16.744799296806328,0.6449879862854674,0,0,,99.0,,,0,0
ES0054,Universidad Católica Santa Teresa de Jesús de Ávila,2016,ES,private,uas,141.8,77.3,2506.0,32.41914618369987,0.5451339915373765,1,0,,224.0,,,0,0
ES0055,Universidad Católica de Valencia,2016,ES,private,uas,857.19,526.86,10925.0,20.73605891508181,0.6146361950092745,0,0,,308.0,,,0,0
