ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Total staff (FTE),Total academic staff (FTE),Total students enrolled ISCED 5-7,R1,R2,Flag R1,Flag R2,Total academic staff (HC),Total staff (HC),R1a,R2a,Flag R1a,Flag R2a
AT0007,Montanuniversität Leoben,2016,AT,public,uas,813.57,512.41,3377.36,6.591128198122598,0.6298290251607114,0,0,344.0,,9.817906976744188,,1,0
AT0008,Universität für Bodenkultur Wien,2016,AT,public,uas,1641.48,1080.16,10114.98,9.36433491334617,0.6580403050905281,0,0,587.0,,17.231652470187388,,0,0
AT0009,Veterinärmedizinische Universität Wien,2016,AT,public,uas,1083.38,526.79,1724.7,3.273980143890355,0.4862467462940057,1,0,282.0,,6.115957446808512,,1,1
AT0010,Wirtschaftsuniversität Wien,2016,AT,public,uas,1348.74,775.63,19770.87,25.4900790325284,0.5750774797218144,0,0,344.0,,57.47345930232558,,0,0
AT0011,Universität Linz,2016,AT,public,uas,1737.23,1044.74,16133.25,15.442358864406454,0.6013826609027014,0,0,174.0,,92.71982758620688,,0,0
AT0012,Universität Klagenfurt,2016,AT,public,uas,835.58,497.49,8127.37,16.336750487446984,0.5953828478422174,0,0,448.0,,18.141450892857144,,0,0
AT0013,Universität für Weiterbildung Krems,2016,AT,public,uas,526.09,303.56,8471.86,27.90835419686389,0.5770115379497804,1,0,1023.0,,8.2813880742913,,0,0
AT0014,Medizinische Universität Wien,2016,AT,public,uas,4174.91,2633.87,5369.28,2.038551636944876,0.6308806656909969,2,0,307.0,,17.489511400651466,,2,0
AT0015,Medizinische Universität Graz,2016,AT,public,uas,1841.95,994.27,3217.0,3.235539642149517,0.5397920681886045,2,0,39.0,,82.48717948717949,,2,0
AT0016,Medizinische Universität Innsbruck,2016,AT,public,uas,1554.97,908.25,2505.42,2.7585136251032205,0.5840948699974919,2,0,779.0,,3.216200256739409,,2,0
