ETER ID,Institution Name,Reference year,Country Code,Legal status,Institution Category standardized,Region of establishment (NUTS 2),Personnel expenditure (PPP),Total Current expenditure (PPP),Basic government allocation (PPP),Total Current revenues (PPP),Total academic staff (FTE),Total staff (FTE),Total students enrolled ISCED 5-7,Total graduates ISCED 5-7,Total students enrolled at ISCED 8,Total graduates at ISCED 8,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,Target,Flag Total Students ISCED 5-7,Flag Total Students ISCED 5,Flag Total Students ISCED 6,Flag Total Students ISCED 7,Flag Total Students ISCED 7 long degree,Flag Total Students ISCED 8,Flag Total Graduates ISCED 5-7,Flag Total Graduates ISCED 5,Flag Total Graduates ISCED 6,Flag Total Graduates ISCED 7,Flag Total Graduates ISCED 7 long degree,Flag Total Graduates ISCED 8,Flag Total Staff FTE,Flag Total Staff HC,Flag Academic Staff FTE,Flag Academic Staff HC,Flag Non-Academic Staff FTE,Flag Total current revenues (NC),Flag Total current expenditures (NC)
DE0447,SRH Hochschule der Populären Künste,2016,DE,private,other,DE30,1565899.01,2953200.18,,2804941.79,29.0,40.0,607.0,25.0,,,20.931034482758626,0.725,39147.47525,0.5302380179321268,1.0528561378808508,,0.04118616144975288,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0448,Jade Hochschule,2016,DE,public,other,DE94,39932885.82,56068268.96,,57180773.44,409.0,606.0,7286.0,1206.0,,,17.814180929095357,0.6749174917491749,65895.85118811883,0.7122189887561672,0.9805440812869144,,0.16552292066977767,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0452,"Medical School Berlin, Hochschule für Gesundheit und Medizin (Priv. FH)",2016,DE,private,other,DE30,3170326.62,4736894.54,,5691512.73,39.0,58.0,952.0,151.0,,,24.41025641025641,0.6724137931034483,54660.80379310345,0.6692837666594958,0.8322733805077511,,0.15861344537815125,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DE0455,Brandenburgische Technische Universität Cottbus-Senftenberg,2016,DE,public,other,DE40,87674943.86,113761701.61,,118353868.14,918.0,1545.0,7341.0,1710.0,441.0,51.0,7.996732026143791,0.5941747572815534,56747.5364789644,0.770689455407136,0.9611996920576524,,0.23293829178586026,8.647058823529411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0457,VWA-Hochschule für berufsbegleitendes Studium Stuttgart (Priv.FH),2016,DE,private,missing,DE13,469644.51,704864.43,,408304.24,8.0,11.0,213.0,,,,26.625,0.7272727272727273,42694.95545454545,0.6662905517873841,1.726321602734275,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0458,Hochschule Geisenheim University (FH),2016,DE,private,other,DE71,21731815.95,28450921.75,,28336942.66,121.0,374.0,1600.0,251.0,13.0,0.0,13.223140495867767,0.3235294117647059,58106.45975935829,0.7638352156376094,1.0040222790216846,,0.156875,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0459,Designhochschule Leipzig (Priv. FH),2016,DE,private,other,DED5,,,,,,,205.0,15.0,,,,,,,,,0.07317073170731707,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0460,IST-Hochschule für Management Düsseldorf (Priv. FH),2016,DE,private,other,DEA1,1261410.08,4382516.93,,5332852.8,26.0,36.0,1769.0,,,,68.03846153846153,0.7222222222222222,35039.16888888889,0.28782777115250074,0.8217959681917341,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0461,Medizinische Hochschule Brandenburg in Neuruppin (Priv. U),2016,DE,private,uas,DE40,2644859.14,4158920.32,,4154720.08,32.0,40.0,164.0,,,,5.125,0.8,66121.4785,0.6359485002107471,1.0010109561941896,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0462,"Munich Institute of Media and Musical Arts, MIMA München (Priv. Kunst-H)",2016,DE,private,uni,DE21,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0464,HDBW Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften (Priv. FH),2016,DE,private,other,DE21,1855055.0,2654006.83,,1113546.99,16.0,26.0,201.0,,,,12.5625,0.6153846153846154,71348.26923076923,0.6989639133671709,2.383381082104133,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0465,AMD Akademie Mode und Design Idstein mit allen Standorten,2016,DE,private,other,DE60,5856108.84,9501746.33,,10198002.72,65.0,111.0,1263.0,282.0,,,19.430769230769233,0.5855855855855856,52757.737297297295,0.6163192150805398,0.9317262007947376,,0.22327790973871733,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0466,GA Hochschule der digitalen Gesellschaft Berlin (Priv. FH),2016,DE,private,other,DE30,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0469,NBS Northern Business School Hamburg (Priv. FH),2016,DE,private,other,DE60,1074049.47,1458861.82,,1833115.08,20.0,39.0,585.0,,,,29.25,0.5128205128205128,27539.73,0.7362242642007041,0.7958375531993332,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0470,praxisHochschule Köln (Priv. FH),2016,DE,private,other,DEA2,2189725.83,4422102.19,,2560406.25,21.0,30.0,455.0,124.0,,,21.66666666666667,0.7,72990.86099999999,0.4951775729995059,1.7271095905190827,,0.2725274725274725,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0471,HSD Hochschule Döpfer Köln (Priv. FH),2016,DE,private,other,DEA2,850684.0,1495240.3,,1307316.45,13.0,17.0,324.0,,,,24.92307692307693,0.7647058823529411,50040.235294117636,0.5689279509119705,1.1437477896036572,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0473,Hochschule der Polizei Rheinland-Pfalz in Büchenbeuren,2016,DE,public,uas,DEB1,29888972.02,33388599.35,,32281495.18,60.0,167.0,1387.0,379.0,,,23.11666666666667,0.3592814371257485,178975.88035928144,0.8951849613901218,1.0342953188452657,,0.2732516222062004,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0475,Akademie der Polizei Hamburg,2016,DE,public,uni,DE60,1377473.25,1729202.6,,1730775.33,24.0,24.0,331.0,108.0,,,13.791666666666664,1.0,57394.71875,0.7965944823353839,0.9990913147577624,,0.32628398791540786,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE0479,Duale Hochschule Gera-Eisenach (FH),2016,DE,missing,other,DEG0,,,,,57.0,82.0,1248.0,,,,21.894736842105264,0.6951219512195121,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0001,Københavns Universitet,2016,DK,public,uas,DK01,,,,,,,37683.0,11653.0,3388.0,706.0,,,,,,,0.3092375872409309,4.798866855524079,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
DK0002,Aarhus Universitet,2016,DK,public,uas,DK04,,,,,,,33744.0,11041.0,1894.0,458.0,,,,,,,0.32719890943575153,4.135371179039302,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0003,Syddansk Universitet,2016,DK,public,uas,DK03,,,,,,,23002.0,6662.0,967.0,239.0,,,,,,,0.28962698895748196,4.046025104602512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0004,Roskilde Universitet,2016,DK,public,uas,DK02,,,,,,,7930.0,2250.0,257.0,56.0,,,,,,,0.2837326607818411,4.589285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0005,Aalborg Universitet,2016,DK,public,uas,DK05,,,,,,,20359.0,6169.0,993.0,238.0,,,,,,,0.3030109533867086,4.1722689075630255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0006,Danmarks Tekniske Universitet,2016,DK,public,uas,DK01,,,,,,,10813.0,2793.0,1454.0,386.0,,,,,,,0.25830019421067235,3.766839378238342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0007,Handelshøjskolen i Kobenhavn,2016,DK,public,uas,DK01,,,,,,,15499.0,6370.0,226.0,50.0,,,,,,,0.4109942576940448,4.52,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
DK0008,IT-Universitetet i København,2016,DK,public,uas,DK01,,,,,,,1777.0,583.0,43.0,12.0,,,,,,,0.3280810354530107,3.583333333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0011,Arkitektskolen Aarhus,2016,DK,public,other,DK04,,,,,,,742.0,247.0,29.0,5.0,,,,,,,0.3328840970350404,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0013,Designskolen Kolding,2016,DK,public,other,DK03,,,,,,,348.0,115.0,,,,,,,,,0.3304597701149425,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0015,"Det Kongelige Danske Kunstakademis Skoler for Arkitektur, Design og Konservering",2016,DK,public,other,DK01,,,,,,,1628.0,700.0,42.0,10.0,,,,,,,0.42997542997543,4.2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
DK0016,Professionshøjskolen Metropol,2016,DK,public,other,DK01,,,,,,,10190.0,2516.0,,,,,,,,,0.2469087340529932,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0017,Professionshøjskolen UCC,2016,DK,public,other,DK01,,,,,,,10133.0,2208.0,,,,,,,,,0.2179019046679167,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0018,Professionshøjskolen University College Nordjylland,2016,DK,public,other,DK05,,,,,,,9364.0,2688.0,,,,,,,,,0.28705681332763777,,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0019,University College Syddanmark,2016,DK,public,other,DK03,,,,,,,6207.0,1432.0,,,,,,,,,0.2307072659900113,,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0020,University College Lillebælt,2016,DK,public,other,DK03,,,,,,,6903.0,1554.0,,,,,,,,,0.22511951325510648,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0021,University College Sjælland,2016,DK,public,other,DK02,,,,,,,8214.0,1650.0,,,,,,,,,0.2008765522279036,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0022,VIA University College,2016,DK,public,other,DK04,,,,,,,19494.0,4943.0,,,,,,,,,0.25356519954857903,,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0023,Københavns Erhvervsakademie (KEA),2016,DK,public,other,DK01,,,,,,,5312.0,1967.0,,,,,,,,,0.3702936746987952,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0024,Erhvervsakademi Sjælland,2016,DK,public,other,DK02,,,,,,,3675.0,1218.0,,,,,,,,,0.3314285714285714,,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0025,Erhvervsakademi Dania,2016,DK,public,other,DK04,,,,,,,2361.0,788.0,,,,,,,,,0.33375688267683185,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0026,Erhvervsakademi Kolding,2016,DK,public,other,DK03,,,,,,,1486.0,545.0,,,,,,,,,0.3667563930013459,,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DK0027,Erhvervsakademiet Lillebælt,2016,DK,public,other,DK03,,,,,,,4555.0,1414.0,,,,,,,,,0.3104281009879253,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0028,Erhvervsakademiet Copenhagen Business,2016,DK,public,other,DK01,,,,,,,5833.0,1915.0,,,,,,,,,0.3283044745414024,,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
DK0029,Erhvervsakademi SydVest,2016,DK,public,other,DK03,,,,,,,1415.0,518.0,,,,,,,,,0.3660777385159011,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0030,Erhvervsakademi Midtvest,2016,DK,public,other,DK04,,,,,,,756.0,271.0,,,,,,,,,0.3584656084656085,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0031,Erhvervsakademi Aarhus,2016,DK,public,other,DK04,,,,,,,4789.0,1550.0,,,,,,,,,0.3236583837961996,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0032,Danmarks Medie og Journalisthøjskole,2016,DK,public,other,DK04,,,,,,,2037.0,484.0,,,,,,,,,0.2376043200785469,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0033,SIMAC,2016,DK,public,other,DK03,,,,,,,721.0,126.0,,,,,,,,,0.17475728155339804,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0034,Kriminalforsorgens Uddannelsescenter,2016,DK,public,uni,DK01,,,,,,,159.0,54.0,,,,,,,,,0.33962264150943394,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
DK0035,Ilisimatusarfik,2016,DK,missing,uas,DKZZ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0036,Fróðskaparsetur Føroya,2016,DK,missing,uas,DKZZ,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK0037,Den Frie Lærerskole,2016,DK,private government dependent,other,DK03,,,,,,,317.0,61.0,,,,,,,,,0.19242902208201887,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0001,Tartu Ülikool,2016,EE,private government dependent,uas,EE00,101033635.28,118404529.33,103038162.21,170597525.73,,,11417.0,2420.0,1257.0,138.0,,,,0.8532919800594253,0.6940577175626544,0.6039839192807266,0.211964614171849,9.108695652173912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0002,Tallinna Tehnikaülikool,2016,EE,private government dependent,uas,EE00,62238585.11,97261189.75,65418500.77,106072444.82,,,10246.0,2154.0,644.0,57.0,,,,0.6399118216626586,0.9169317244930832,0.6167341657959535,0.21022838180753464,11.298245614035089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0003,Tallinna Ülikool,2016,EE,private government dependent,uas,EE00,29273975.58,101401696.82,30962549.64,62116925.44,,,7431.0,1711.0,356.0,28.0,,,,0.2886931530540832,1.6324326437879797,0.4984559267973969,0.2302516484995289,12.714285714285715,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0004,Eesti Maaülikool,2016,EE,private government dependent,uas,EE00,21274556.55,33517795.12,22116682.73,36666650.99,,,3011.0,557.0,221.0,18.0,,,,0.6347242255593809,0.9141220759196476,0.6031825141606695,0.18498837595483228,12.277777777777779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0005,Eesti Ettevõtluskõrgkool Mainor,2016,EE,private,other,EE00,1641764.41,3454274.65,0.0,3329293.76,,,1454.0,208.0,,,,,,0.4752848503230627,1.0375397603844967,0.0,0.14305364511691884,,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
EE0006,Tallinna Tehnikakõrgkool,2016,EE,public,other,EE00,7216491.77,11035942.07,10241221.78,11968998.67,,,2183.0,301.0,,,,,,0.6539080872504072,0.9220438880707136,0.8556456611253009,0.13788364635822262,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0007,Estonian Business School,2016,EE,private,uas,EE00,,,,,,,1382.0,215.0,56.0,,,,,,,,0.15557163531114326,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0008,Euroakadeemia,2016,EE,private,other,EE00,947656.26,1533240.77,0.0,1933721.86,,,539.0,109.0,,,,,,0.6180740028195311,0.7928962286230761,0.0,0.20222634508348794,,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0009,Tallinna Tervishoiu Kõrgkool,2016,EE,public,other,EE00,3806258.37,6241205.81,6730370.86,7493600.91,,,1268.0,382.0,,,,,,0.6098594543864273,0.8328713905315248,0.8981490929171995,0.3012618296529969,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0010,Tartu Tervishoiu Kõrgkool,2016,EE,public,other,EE00,3177635.3,5053482.9,5268410.7,5981032.38,,,1022.0,265.0,,,,,,0.6288010393782077,0.8449181644457174,0.8808530643667909,0.25929549902152643,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0011,Eesti Kunstiakadeemia,2016,EE,private government dependent,uas,EE00,6365921.17,11140909.96,9369578.87,13727212.9,,,1022.0,199.0,58.0,4.0,,,,0.5714004684407304,0.8115930044328227,0.6825550778774618,0.19471624266144813,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0013,Sisekaitseakadeemia,2016,EE,public,other,EE00,,,,,,,671.0,172.0,,,,,,,,,0.2563338301043219,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0017,Lääne-Viru Rakenduskõrgkool,2016,EE,public,other,EE00,1782012.04,2620934.62,2552205.04,2883878.97,,,951.0,199.0,,,,,,0.6799147244657328,0.9088226819726766,0.8849903434054307,0.2092534174553102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0022,Eesti Muusika- ja Teatriakadeemia,2016,EE,private government dependent,uas,EE00,6738707.42,9297337.23,7793385.52,10139824.37,,,611.0,149.0,43.0,6.0,,,,0.72479971988711,0.9169130441260296,0.7685917660524528,0.24386252045826515,7.166666666666668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0023,Eesti Infotehnoloogia Kolledž,2016,EE,private,other,EE00,,,,,,,956.0,94.0,,,,,,,,,0.098326359832636,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0025,Eesti Lennuakadeemia,2016,EE,public,other,EE00,2299879.28,4805677.17,4899224.99,5429836.64,,,251.0,43.0,,,,,,0.4785754845034669,0.8850500463675092,0.902278524165692,0.17131474103585656,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0026,Tartu Kõrgem Kunstikool,2016,EE,public,other,EE00,1879718.4,2817520.74,2752024.0,3047380.14,,,313.0,64.0,,,,,,0.6671533498631851,0.9245714714147872,0.9030786687479035,0.2044728434504792,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0028,Arvutikolledž,2016,EE,private,other,EE00,,,,,,,,10.0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0029,Eesti Metodisti Kiriku Teoloogiline Seminar,2016,EE,private,other,EE00,,,,,,,60.0,14.0,,,,,,,,,0.2333333333333333,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0031,Kaitseväe Ühendatud Õppeasutused,2016,EE,public,other,EE00,,,,,,,192.0,50.0,,,,,,,,,0.2604166666666667,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0032,EELK Usuteaduse Instituut,2016,EE,private,other,EE00,,,,,,,132.0,9.0,,,,,,,,,0.06818181818181818,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EE0034,EEKBKL Kõrgem Usuteaduslik Seminar,2016,EE,private,other,EE00,,,,,,,47.0,4.0,,,,,,,,,0.0851063829787234,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ES0001,Universidad de Almería,2016,ES,public,uas,ES61,,,,,785.16,1251.78,12762.0,2588.0,814.0,90.0,16.254011921137092,0.6272348176197096,,,,,0.2027895314214073,9.044444444444443,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ES0002,Universidad de Cádiz,2016,ES,public,uas,ES61,,,,,1376.17,2081.55,21141.0,4167.0,871.0,244.0,15.362200890878306,0.6611275251615383,,,,,0.19710515112813964,3.569672131147541,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ES0003,Universidad de Córdoba,2016,ES,public,uas,ES61,,,,,1080.13,1840.11,16858.0,2985.0,1255.0,261.0,15.607380593076758,0.5869920819950982,,,,,0.17706726776604578,4.8084291187739465,0,0,0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
ES0004,Universidad de Granada,2016,ES,public,uas,ES61,,,,,3224.19,5468.37,49203.0,9450.0,2729.0,652.0,15.26057707517237,0.5896071407018911,,,,,0.19206145966709348,4.185582822085888,0,0,0,2,1,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0
ES0005,Universidad de Huelva,2016,ES,public,uas,ES61,,,,,663.15,1094.15,10698.0,2005.0,420.0,112.0,16.13209681067632,0.6060869167847187,,,,,0.1874182090110301,3.75,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ES0006,Universidad de Jaén,2016,ES,public,uas,ES61,,,,,875.77,1383.52,14530.0,3124.0,538.0,113.0,16.591114105301617,0.63300132994102,,,,,0.2150034411562285,4.761061946902656,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ES0007,Universidad de Málaga,2016,ES,public,uas,ES61,,,,,2057.41,3306.7,34983.0,6749.0,1421.0,532.0,17.003416917386428,0.6221943327184202,,,,,0.19292227653431668,2.6710526315789482,0,0,0,2,0,2,0,1,0,2,1,2,0,0,0,0,0,0,0,0
ES0008,Universidad Pablo de Olavide,2016,ES,public,uas,ES61,,,,,696.67,1061.27,10699.0,1580.0,722.0,164.0,15.357342787833552,0.6564493484221734,,,,,0.14767735302364707,4.402439024390244,0,0,0,2,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0
ES0009,Universidad de Sevilla,2016,ES,public,uas,ES61,,,,,3686.04,6327.32,58756.0,9992.0,2720.0,769.0,15.940141723909669,0.5825594406478573,,,,,0.17005922799373682,3.5370611183355005,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
ES0010,Universidad de Zaragoza,2016,ES,public,uas,ES24,,,,,2890.97,4439.51,29629.0,5968.0,1836.0,695.0,10.248809223201901,0.651191235068735,,,,,0.20142428026595569,2.641726618705036,0,0,0,2,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
ES0011,Universidad de Oviedo,2016,ES,public,uas,ES12,,,,,2104.72,3058.48,20300.0,3781.0,1363.0,292.0,9.644988407009011,0.6881588239910021,,,,,0.186256157635468,4.667808219178082,0,0,0,0,0,2,0,0,0,2,0,2,2,0,0,0,0,0,0,0
ES0012,Universitat de les Illes Balears,2016,ES,public,uas,ES53,,,,,900.44,1481.67,12862.0,2384.0,711.0,130.0,14.284127759761894,0.6077196676722887,,,,,0.18535220027989427,5.4692307692307685,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ES0013,Universidad de La Laguna,2016,ES,public,uas,ES70,,,,,1366.83,2212.88,18631.0,3345.0,692.0,338.0,13.63080997636868,0.6176701854596724,,,,,0.1795394772153937,2.0473372781065087,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
ES0014,Universidad de Las Palmas de Gran Canaria,2016,ES,public,uas,ES70,,,,,1193.19,1976.82,17894.0,3127.0,532.0,441.0,14.996773355458894,0.6035906152305218,,,,,0.17475131328937074,1.2063492063492065,2,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0
ES0015,Universidad de Cantabria,2016,ES,public,uas,ES13,,,,,1098.01,1707.57,9947.0,2036.0,510.0,224.0,9.059116037194562,0.6430248833137149,,,,,0.20468482959686327,2.2767857142857144,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ES0016,Universitat Autònoma de Barcelona,2016,ES,public,uas,ES51,,,,,2723.51,4652.34,35649.0,8554.0,3982.0,1046.0,13.089358952234432,0.5854064836189959,,,,,0.2399506297511852,3.8068833652007648,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0
ES0017,Universitat de Barcelona,2016,ES,public,uas,ES51,,,,,3411.17,5716.23,52580.0,11479.0,3612.0,1048.0,15.414066141529153,0.5967517052322948,,,,,0.21831494864967668,3.446564885496183,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
ES0018,Universitat de Girona,2016,ES,public,uas,ES51,,,,,931.18,1553.84,14646.0,2816.0,672.0,115.0,15.72843059344058,0.5992766307985378,,,,,0.192270927215622,5.843478260869565,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ES0019,Universitat de Lleida,2016,ES,public,uas,ES51,,,,,668.57,1196.78,9654.0,2058.0,480.0,102.0,14.439774443962483,0.5586406858403383,,,,,0.21317588564325668,4.705882352941177,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ES0020,Universitat Politècnica de Catalunya · BarcelonaTech,2016,ES,public,uas,ES51,,,,,2255.54,3771.74,29194.0,5818.0,1889.0,510.0,12.94324197309735,0.5980104673174715,,,,,0.19928752483387002,3.703921568627451,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
ES0021,Universitat Pompeu Fabra,2016,ES,public,uas,ES51,,,,,988.08,1854.43,18054.0,4490.0,1244.0,299.0,18.271799854262813,0.5328214060385131,,,,,0.2486983493962557,4.160535117056856,0,1,0,2,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,0
ES0022,Universitat Rovira i Virgili,2016,ES,public,uas,ES51,,,,,922.63,1639.15,12988.0,2751.0,1018.0,223.0,14.077149019650347,0.5628710002135253,,,,,0.21181090237141967,4.565022421524664,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
ES0023,Universidad de Castilla-La Mancha,2016,ES,public,uas,ES42,,,,,1749.29,2832.12,24342.0,4423.0,1317.0,250.0,13.915359946035249,0.6176609748174513,,,,,0.1817024073617616,5.268,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0
ES0024,Universidad de Alicante,2016,ES,public,uas,ES52,,,,,1568.03,2814.59,24053.0,4974.0,1305.0,353.0,15.33962998156923,0.5571077847928118,,,,,0.2067933313931734,3.696883852691218,0,0,0,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0
ES0025,Universidad Jaume I de Castellón,2016,ES,public,uas,ES52,,,,,835.56,1459.21,13181.0,2337.0,589.0,161.0,15.775049068887933,0.5726112074341595,,,,,0.17730066004096806,3.6583850931677016,0,0,0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0
ES0026,Universidad Miguel Hernández de Elche,2016,ES,public,uas,ES52,,,,,731.51,1232.27,12547.0,3116.0,420.0,113.0,17.152192041120422,0.5936280198333157,,,,,0.2483462182194947,3.7168141592920354,0,1,0,2,1,2,0,1,0,2,0,0,2,0,0,0,0,1,0,0
